UID;Name;Position;Age;Height;Weight;Inf;Club;Division;Nat;2nd Nat;Home-Grown Status;Personality;Media Handling;Wage;Transfer Value;Asking Price;Preferred Foot;Yel;xG;Starts;Red;PoM;Pen/R;Pens S;Pens Saved Ratio;Pens Saved;Pens Faced;Pens;Mins;Gls/90;Conc;Gls;Fls;FA;xG/90;xG-OP;xA/90;xA;Con/90;Clean Sheets;Av Rat;Mins/Gl;Ast;Hdrs A;Apps;Tck/90;Tck W;Tck A;Tck R;Shot/90;Shot %;ShT/90;ShT;Shots Outside Box/90;Shts Blckd/90;Shts Blckd;Shots;Svt;Svp;Svh;Sv %;Pr passes/90;Pr Passes;Pres C/90;Pres C;Pres A/90;Pres A;Poss Won/90;Poss Lost/90;Ps C/90;Ps C;Ps A/90;Pas A;Pas %;OP-KP/90;OP-KP;OP-Crs C/90;OP-Crs C;OP-Crs A/90;OP-Crs A;OP-Cr %;Off;Gl Mst;K Tck/90;K Tck;K Ps/90;K Pas;K Hdrs/90;Int/90;Itc;Sprints/90;Hdr %;Hdrs W/90;Hdrs;Hdrs L/90;Goals Outside Box;xSv %;xGP/90;xGP;Drb/90;Drb;Dist/90;Distance;Cr C/90;Cr C;Crs A/90;Cr A;Cr C/A;Conv %;Clr/90;Clear;CCC;Ch C/90;Blk/90;Blk;Asts/90;Aer A/90
2000126150;Luka Stojković;AM (RLC);22;182 cm;78 kg;;Dinamo;SuperSport HNL;CRO;;;;Scouting Required;€41,000 p/m;€275K - €2.7M;;Right;1;8,15;39;0;2;100%;1;;;;1;3197;0.06;;2;35;57;0,23;-6,15;0,03;1,01;;;7,21;0.00;3;63;39 (1);1.44;51;85;60%;1.97;43%;0.84;30;0.08;0.00;0;70;;;;;0,84;30;1,07;38;4,45;158;1,24;6,45;18,92;672;24,55;872;77%;0,42;15;0.11;4;0.93;33;32%;2;0;0,0;0;0.42;15;0,06;0.62;22;4,9;57%;1.01;36;0.76;0;;;;1.01;36;0.0km;151.5km;0.42;15;2.48;88;12%;3%;0,23;8;3;0.38;0.03;1;0.08;1.77
61064267;Scott McKenna;D (C);29;188 cm;73 kg;;Dinamo;SuperSport HNL;SCO;;;Fairly Ambitious;Media-friendly;€8,250 p/m;€375K - €3.8M;;Left;5;2,16;21;0;1;;0;;;;0;2159;0.13;;3;30;36;0,09;0,84;0,0;0,0;;;7,35;0.00;3;38;21 (8);2.17;52;55;95%;0.71;18%;0.13;3;0.04;0.17;4;17;;;;;0,88;21;0,42;10;0,75;18;2,58;0,58;22,84;548;29,22;701;78%;0,04;1;0.00;0;0.00;0;;0;0;0,08;2;0.04;1;0,42;0.13;3;1,13;71%;1.13;27;0.46;0;;;;0.04;1;0.0km;56.7km;0.00;0;0.00;0;;18%;0,33;8;0;;0.04;1;0.13;1.58
2000085967;Matteo Pérez Vinlöf;D/WB (L);20;178 cm;66 kg;;Dinamo;SuperSport HNL;SWE;PER;;Fairly Ambitious;Media-friendly;€1,200 p/m;€210K - €2.1M;;Left Only;1;1,99;20;0;1;100%;1;;;;1;1998;0.09;;2;32;50;0,09;0,01;0,13;2,97;;;6,74;0.00;2;72;20 (16);2.75;61;77;79%;0.86;16%;0.14;3;0.00;0.36;8;19;;;;;3,6;80;1,53;34;5,5;122;5,5;9,95;37,66;836;47,75;1060;79%;0,5;11;0.45;10;1.71;38;46%;2;0;0,05;1;0.50;11;0,14;1.35;30;8,29;28%;0.90;20;2.34;0;;;;0.95;21;0.0km;166.0km;0.72;16;3.02;67;26%;11%;0,72;16;2;0.20;0.27;6;0.09;3.24
16155354;Dejan Ljubičić;DM, M (C);28;187 cm;74 kg;Int;Dinamo;SuperSport HNL;AUT;CRO;;;Scouting Required;€11,750 p/m;€5.4M - €8.6M;;Right Only;3;4,26;37;0;6;100%;3;;;;3;3127;0.14;;5;36;33;0,12;0,74;0,18;6,31;;;7,28;0.00;9;30;37;1.87;65;77;84%;0.81;43%;0.35;12;0.12;0.03;1;28;;;;;1,12;39;0,69;24;3,94;137;4,09;3,14;23,83;828;30,39;1056;78%;0,43;15;0.09;3;0.29;10;75%;1;0;0,03;1;0.43;15;0,03;0.49;17;4,84;40%;0.35;12;0.52;0;;;;0.46;16;0.0km;158.2km;0.09;3;0.29;10;30%;18%;0,17;6;2;0.20;0.09;3;0.26;0.86
67219031;Gonzalo Villar;DM, M (C);28;181 cm;73 kg;;Dinamo;SuperSport HNL;ESP;;;;Scouting Required;€4,100 p/m;€240K - €2.4M;;Right;0;2,84;38;0;1;;0;;;;0;3330;;;0;29;50;0,08;-2,84;0,07;2,59;;;7,11;;3;50;38 (3);1.70;63;77;82%;0.78;21%;0.16;6;0.11;0.00;0;29;;;;;1,32;49;0,89;33;3,41;126;3,65;3,57;22,95;849;28,78;1065;80%;0,43;16;0.08;3;0.32;12;50%;0;0;0,03;1;0.43;16;0,08;0.62;23;3,41;62%;0.84;31;0.51;0;;;;0.41;15;0.0km;146.3km;0.08;3;0.32;12;25%;;0,19;7;1;0.03;0.11;4;0.08;1.35
8449438;Kévin Théophile-Catherine;D (RC);36;183 cm;84 kg;Ret;Dinamo;SuperSport HNL;FRA;MTQ;;;Scouting Required;€41,000 p/m;€0 - €14K;;Right;4;2,93;40;1;2;;0;;;;0;3507;0.05;;2;58;45;0,08;-0,93;0,03;1,01;;;6,82;0.00;4;75;40 (3);1.69;66;75;88%;0.69;26%;0.18;7;0.26;0.15;6;27;;;;;1,54;60;0,51;20;2,59;101;3,62;3,57;22,38;872;28,23;1100;79%;0,15;6;0.08;3;0.64;25;24%;0;0;0,0;0;0.15;6;0,1;0.69;27;4,82;63%;1.21;47;0.72;2;;;;0.36;14;0.0km;138.9km;0.08;3;0.64;25;12%;7%;0,26;10;2;0.23;0.13;5;0.10;1.92
2000054276;Raúl Torrente;D (C), DM;25;193 cm;79 kg;Wnt;Dinamo;SuperSport HNL;ESP;;;Fairly Ambitious;Media-friendly;€7,500 p/m;€90K - €900K;;Left Only;1;2,92;43;0;1;;0;;;;0;3763;0.12;;5;32;22;0,07;2,08;0,02;0,8;;;7,26;0.00;7;101;43;1.82;76;82;93%;0.57;33%;0.19;8;0.12;0.22;9;24;;;;;1,6;67;0,53;22;1,34;56;6,53;0,98;30,69;1283;35,9;1501;85%;0,1;4;0.00;0;0.05;2;0%;1;0;0,05;2;0.10;4;0,38;0.36;15;2,22;68%;1.65;69;0.77;0;;;;0.07;3;0.0km;174.4km;0.00;0;0.05;2;;21%;0,22;9;2;0.15;0.24;10;0.17;2.42
58092243;Anton Miranchuk;M/AM (LC);30;185 cm;80 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€90,000 p/m;€425K - €4.3M;;Right;1;6,44;35;0;2;;0;;;;0;2684;0.20;;6;13;25;0,22;-0,44;0,15;4,62;;;6,81;0.00;7;172;35 (7);1.58;47;56;84%;2.08;39%;0.80;24;0.70;0.00;0;62;;;;;1,88;56;2,68;80;10,33;308;11,9;15,59;28,77;858;33,06;986;87%;1,14;34;0.10;3;0.57;17;30%;2;0;0,03;1;1.14;34;0,07;1.68;50;11,84;24%;1.41;42;4.36;1;;;;1.27;38;0.0km;390.1km;0.40;12;2.48;74;17%;10%;0,7;21;7;0.32;0.37;11;0.23;5.77
59112599;Baqtiiar Zainutdinov;D (LC), WB/M (L);28;185 cm;77 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;KAZ;;;;Scouting Required;€87,000 p/m;€500K - €4.9M;;Left;4;1,31;24;0;0;;0;;;;0;2217;;;0;18;6;0,05;-1,31;0,03;0,79;;;6,87;;1;166;24 (3);0.77;19;28;68%;0.65;13%;0.08;2;0.32;0.45;11;16;;;;;3,61;89;0,89;22;3,65;90;16,56;3,04;56,91;1402;61,71;1520;92%;0,28;7;0.00;0;0.32;8;0%;1;0;0,24;6;0.37;9;0,69;1.75;43;6,21;77%;5.16;127;1.58;1;;;;0.28;7;0.0km;287.6km;0.00;0;0.32;8;;;1,66;41;3;0.33;0.61;15;0.04;6.74
19273279;Arthur Gomes;AM (RLC);27;175 cm;71 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;BRA;;;;Scouting Required;€80,500 p/m;€425K - €4.1M;;Right;4;2,44;14;0;0;;0;;;;0;1357;0.07;;1;17;11;0,16;-1,44;0,13;1,89;;;6,77;0.00;2;72;14 (18);1.99;30;33;91%;1.86;32%;0.60;9;0.73;0.00;0;28;;;;;1,53;23;2,72;41;9,82;148;7,03;15,72;26,33;397;30,57;461;86%;1,06;16;0.27;4;1.53;23;17%;6;0;0,0;0;1.06;16;0,0;1.13;17;11,34;15%;0.73;11;4.05;3;;;;1.59;24;0.0km;191.5km;0.73;11;4.78;72;17%;4%;0,66;10;7;0.79;0.27;4;0.13;4.78
58106360;Ivan Sergeev;ST (C);31;184 cm;80 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€83,500 p/m;€500K - €4.9M;;Right;2;7,22;6;0;0;;0;;;;0;1233;0.66;;9;18;32;0,53;1,78;0,12;1,58;;;6,88;0.00;1;147;6 (33);1.46;20;23;87%;4.38;40%;1.75;24;1.24;0.00;0;60;;;;;0,66;9;1,61;22;7,3;100;1,68;20,66;19,34;265;22,19;304;87%;0,66;9;0.00;0;0.22;3;0%;6;0;0,0;0;0.66;9;0,0;0.73;10;5,84;21%;2.26;31;8.47;0;;;;0.80;11;0.0km;151.7km;0.00;0;0.22;3;;15%;0,36;5;1;0.10;0.07;1;0.07;10.73
2000120257;Milan Majstorović;D (RC);21;185 cm;77 kg;Inj;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;SRB;;;;Scouting Required;€39,000 p/m;€4.5M - €9M;;Right;3;0,73;19;1;1;;0;;;;0;1962;;;0;18;13;0,03;-0,73;0,06;1,27;;;6,79;;1;145;19 (12);1.79;39;51;76%;0.41;44%;0.18;4;0.23;0.73;16;9;;;;;3,94;86;1,74;38;6,93;151;13,94;6,47;46,38;1011;50,96;1111;91%;0,64;14;0.00;0;0.55;12;0%;0;0;0,6;13;0.64;14;0,64;2.06;45;8,26;57%;3.76;82;2.89;0;;;;0.41;9;0.0km;248.0km;0.00;0;0.55;12;;;1,51;33;4;0.23;0.64;14;0.05;6.65
51049414;Luis Chávez;DM, M (LC);30;178 cm;77 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;MEX;;;;Scouting Required;€197,000 p/m;€5.8M - €9.2M;;Left;4;1,24;36;0;0;;0;;;;0;2862;0.06;;2;26;21;0,04;0,76;0,2;6,42;;;6,93;0.00;5;81;36 (2);1.79;57;83;69%;0.63;20%;0.13;4;0.25;0.09;3;20;;;;;5,03;160;2,55;81;9,34;297;15,47;4,18;48,55;1544;52,99;1685;92%;0,88;28;0.06;2;0.44;14;20%;1;0;0,16;5;2.23;71;0,22;1.60;51;12,36;38%;0.97;31;1.57;1;;;;0.57;18;0.0km;412.8km;0.16;5;1.57;50;14%;10%;1,07;34;20;1.23;0.41;13;0.16;2.55
58153778;Konstantin Tyukavin;ST (C);23;181 cm;78 kg;Wnt;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€42,500 p/m;€9.2M - €14.5M;;Right;1;8,62;36;0;2;100%;1;;;;1;2593;0.45;;13;25;70;0,3;4,38;0,11;3,22;;;6,99;0.00;7;271;36 (5);1.28;37;40;93%;3.12;54%;1.70;49;1.25;0.00;0;90;;;;;1,18;34;1,42;41;7,05;203;2,95;14,23;17,56;506;20,58;593;85%;1,08;31;0.00;0;0.45;13;0%;13;0;0,03;1;1.08;31;0,21;0.90;26;6,49;35%;3.33;96;6.07;3;;;;0.87;25;0.0km;341.3km;0.00;0;0.45;13;;14%;0,49;14;8;0.64;0.03;1;0.24;9.41
58137500;Danil Glebov;DM, M (C);26;178 cm;68 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€90,000 p/m;€80K - €7.8M;;Right;0;1,74;10;0;0;;0;;;;0;1370;0.13;;2;16;5;0,11;0,26;0,25;3,85;;;6,74;0.00;3;47;10 (26);1.97;30;36;83%;0.92;21%;0.20;3;0.33;0.33;5;14;;;;;2,96;45;2,36;36;9,59;146;13,2;4,07;44,74;681;52,03;792;86%;0,85;13;0.07;1;0.07;1;100%;0;0;0,07;1;0.85;13;0,0;1.45;22;11,23;40%;1.25;19;1.84;1;;;;0.59;9;0.0km;192.3km;0.07;1;0.07;1;100%;14%;0,85;13;6;0.91;0.59;9;0.20;3.09
19367258;Rubens;D/WB (L), M (C), AM (L);24;178 cm;66 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;BRA;;;;Scouting Required;€87,000 p/m;€400K - €12M;;Left;3;2,09;27;0;1;;0;;;;0;2290;;;0;24;35;0,08;-2,09;0,19;4,91;;;6,94;;2;110;27 (6);3.26;83;105;79%;0.59;33%;0.20;5;0.20;0.86;22;15;;;;;6,33;161;2,87;73;9,9;252;15,05;12,81;41,31;1051;46,65;1187;89%;1,49;38;0.20;5;2.91;74;9%;2;0;0,08;2;1.49;38;0,12;2.55;65;15,45;44%;1.89;48;2.44;0;;;;1.73;44;0.0km;320.3km;0.20;5;2.91;74;6%;;1,53;39;5;0.45;0.71;18;0.08;4.32
58137149;Denis Makarov;M/AM (R);28;181 cm;75 kg;Inj;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€101,000 p/m;€3.6M - €7.4M;;Left;0;2,52;9;0;0;;0;;;;0;1008;0.36;;4;10;15;0,23;1,48;0,04;0,47;;;7,02;0.00;2;62;9 (22);2.23;25;32;78%;2.59;31%;0.80;9;0.98;0.00;0;29;;;;;2,68;30;3,21;36;13,39;150;3,93;18,04;26,25;294;31,16;349;84%;1,43;16;0.36;4;2.59;29;26%;3;0;0,0;0;1.43;16;0,18;1.88;21;13,66;26%;1.43;16;4.11;1;;;;3.04;34;0.0km;135.9km;0.36;4;2.59;29;13%;14%;0,8;9;2;0.30;;0;0.18;5.54
58110292;Dmitry Skopintsev;D/WB/M (L);29;176 cm;67 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€111,000 p/m;€950K - €9.2M;;Left;2;0,97;18;0;3;;0;;;;0;1838;0.05;;1;17;31;0,05;0,03;0,12;2,42;;;6,9;0.00;3;76;18 (11);2.99;61;66;92%;0.59;25%;0.15;3;0.24;0.20;4;12;;;;;6,12;125;2,5;51;8,91;182;10,28;12,98;39,27;802;45,15;922;87%;0,93;19;0.20;4;2.06;42;27%;4;0;0,34;7;0.93;19;0,0;2.15;44;16,16;59%;2.20;45;1.52;0;;;;1.66;34;0.0km;268.8km;0.44;9;3.23;66;9%;8%;1,42;29;3;0.29;0.88;18;0.15;3.72
13171659;Nicolas Moumi Ngamaleu;M (R), AM (RL);31;181 cm;75 kg;Wnt;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;CMR;;;;Scouting Required;€87,000 p/m;€230K - €2.3M;;Right;0;6,59;36;0;2;;0;;;;0;3060;0.38;;13;25;40;0,19;6,41;0,1;3,33;;;7,0;0.00;5;204;36 (5);2.03;69;84;82%;1.85;44%;0.82;28;0.53;0.00;0;63;;;;;2,35;80;2,74;93;12,29;418;5,12;19,88;27,62;939;32,85;1117;84%;1,5;51;0.56;19;3.91;133;31%;13;0;0,06;2;1.50;51;0,06;1.50;51;14,44;32%;1.94;66;4.06;4;;;;2.59;88;0.0km;400.3km;0.76;26;4.79;163;14%;21%;0,85;29;8;0.51;0.24;8;0.15;6.00
58104504;Daniil Fomin;DM, M (C);29;187 cm;78 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€83,500 p/m;€4.9M - €7.8M;;Right;2;4,96;39;0;2;;0;;;;0;3502;0.15;;6;26;28;0,13;1,04;0,17;6,43;;;7,07;0.00;4;191;39 (4);1.98;77;113;68%;0.82;31%;0.26;10;0.23;0.10;4;32;;;;;4,45;173;2,9;113;10,54;410;14,96;6,17;46,11;1794;52,56;2045;88%;1,03;40;0.03;1;0.44;17;32%;3;0;0,13;5;1.28;50;0,51;1.34;52;11,85;53%;2.60;101;2.31;2;;;;0.51;20;0.0km;500.5km;0.36;14;2.75;107;5%;19%;0,93;36;6;0.36;0.49;19;0.10;4.91
14217793;Juan Cáceres;D (RC), WB (R);26;179 cm;69 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;PAR;ARG;;;Scouting Required;€80,500 p/m;€5.6M - €11M;;Right;4;3,68;33;0;3;;0;;;;0;2918;0.03;;1;32;38;0,11;-2,68;0,12;3,86;;;7,16;0.00;6;206;33 (2);2.87;93;111;84%;0.93;17%;0.15;5;0.25;0.71;23;30;;;;;5,83;189;2,56;83;8,85;287;13,36;12,15;39,42;1278;44,41;1440;89%;0,93;30;0.28;9;2.19;71;26%;1;0;0,25;8;0.93;30;0,52;2.37;77;16,96;67%;4.26;138;2.10;2;;;;1.60;52;0.0km;409.0km;0.28;9;2.19;71;12%;3%;1,33;43;4;0.18;0.62;20;0.19;6.35
19382573;Bitello;M (C), AM (LC);26;178 cm;70 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;BRA;;;;Scouting Required;€106,000 p/m;€8.4M - €10.5M;;Right;4;7,22;33;0;5;;0;;;;0;2845;0.44;;14;50;52;0,23;6,78;0,12;3,8;;;7,2;0.00;9;171;33 (8);2.40;76;96;79%;2.37;36%;0.85;27;0.70;0.00;0;75;;;;;1,9;60;3,2;101;13,41;424;8,1;14,27;32,68;1033;38,09;1204;86%;1,2;38;0.41;13;2.53;80;28%;5;0;0,0;0;1.20;38;0,06;1.90;60;14,87;26%;1.39;44;4.02;1;;;;2.25;71;0.0km;391.7km;0.41;13;2.53;80;16%;19%;0,79;25;7;0.49;0.35;11;0.28;5.41
58103708;Maxim Osipenko;D (C);32;193 cm;82 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€93,000 p/m;Not for Sale;;Right Only;2;2,64;41;1;5;;0;;;;0;3614;0.15;;6;20;10;0,07;3,36;0,06;2,47;;;7,28;0.00;9;302;41;1.42;57;65;88%;0.67;33%;0.22;9;0.15;0.82;33;27;;;;;3,61;145;1,17;47;3,11;125;18,5;2,44;57,13;2294;61,88;2485;92%;0,27;11;0.02;1;0.17;7;17%;3;0;0,2;8;0.27;11;1,05;1.49;60;5,18;72%;5.43;218;2.09;0;;;;0.10;4;0.0km;452.0km;0.02;1;0.17;7;14%;22%;1,05;42;4;0.14;0.57;23;0.22;7.52
58051185;Andrey Lunev;GK;34;190 cm;80 kg;;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;RUS;;;;Scouting Required;€109,000 p/m;€1.3M - €3M;;Right Only;0;0,0;41;0;5;;0;0%;0;6;0;3561;;40;0;0;11;0,0;0,0;0,0;0,0;1.01;15;6,88;;0;;41 (1);0.00;0;6;0%;;;;;;;;0;17;67;32;-1%;0,0;0;0,0;0;0,0;0;3,89;7,78;16,78;664;26,31;1041;64%;0,0;0;;;;;;0;1;0,0;0;;0;0,0;;0;0,0;;;;;;-792%;0.20;7.97;;0;0.0km;220.8km;;;;;;;7,86;;0;;;;;
8156077;Maximiliano Caufriez;D (RC);29;188 cm;82 kg;Inj;Dinamo Moscow;MIR Rossiyskaya Premyer-Liga;BEL;;;;Scouting Required;€42,000 p/m;€1.4M - €3.1M;;Right;2;0,28;12;1;0;;0;;;;0;875;;;0;8;5;0,03;-0,28;0,02;0,24;;;6,75;;0;69;12 (1);1.23;12;12;100%;0.31;0%;0.00;0;0.10;0.62;6;3;;;;;4,63;45;1,03;10;3,91;38;14,81;5,97;47,73;464;52,05;506;92%;0,62;6;0.31;3;0.62;6;125%;1;0;0,21;2;0.62;6;1,13;2.06;20;7,3;75%;5.35;52;1.75;0;;;;0.21;2;0.0km;106.9km;0.31;3;0.62;6;50%;;1,54;15;1;0.42;0.72;7;;7.10
8120012;Albin Ekdal;DM, M (C);36;186 cm;80 kg;;Djurgårdens IF;Allsvenskan;SWE;;;;Scouting Required;€13,000 p/m;€0 - €80K;;Right;1;0,23;9;0;0;;0;;;;0;810;;;0;18;8;0,03;-0,23;0,08;0,73;;;5,9;;2;0;9;1.56;14;17;82%;0.33;33%;0.11;1;0.00;0.00;0;3;;;;;0,0;0;0,0;0;0,0;0;0,0;0,0;13,22;119;20,0;180;66%;0,0;0;0.00;0;0.00;0;;0;0;0,0;0;;0;0,0;;0;0,0;;;;;0;;;;;0;0.0km;0.0km;0.00;0;0.00;0;;;0,0;0;0;;;0;0.22;
27110041;Mikael Anderson;M/AM (LC);27;180 cm;70 kg;Int;Djurgårdens IF;Allsvenskan;ISL;DEN;;;Scouting Required;€7,750 p/m;€3.4M - €7M;;Right;0;2,13;9;0;0;;0;;;;0;810;;;0;12;13;0,24;-2,13;0,08;0,73;;;6,84;;0;0;9;1.00;9;11;82%;2.00;28%;0.56;5;0.00;0.00;0;18;;;;;0,0;0;0,0;0;0,0;0;0,0;0,0;13,56;122;20,0;180;68%;0,0;0;0.00;0;0.00;0;;0;0;0,0;0;;0;0,0;;0;0,0;;;;;0;;;;;0;0.0km;0.0km;0.00;0;0.00;0;;;0,0;0;0;;;0;;
33003224;Rasmus Schüller;DM, M (C);34;177 cm;69 kg;;Djurgårdens IF;Allsvenskan;FIN;USA;;;Scouting Required;€10,000 p/m;€26K - €275K;;Left;1;0,59;7;2;0;;0;;;;0;630;0.14;;1;11;7;0,08;0,41;0,1;0,68;;;6,33;0.00;2;0;7;1.71;12;18;67%;0.71;60%;0.43;3;0.00;0.00;0;5;;;;;0,0;0;0,0;0;0,0;0;0,0;0,0;13,0;91;20,0;140;65%;0,0;0;0.00;0;0.00;0;;0;0;0,0;0;;0;0,0;;0;0,0;;;;;0;;;;;0;0.0km;0.0km;0.00;0;0.00;0;;20%;0,0;0;0;;;0;0.29;
68004708;Marcus Danielson;D (C);37;192 cm;82 kg;;Djurgårdens IF;Allsvenskan;SWE;;;;Scouting Required;€7,750 p/m;Not for Sale;;Right;0;0,27;7;0;0;;0;;;;0;630;0.14;;1;4;8;0,04;0,73;0,01;0,09;;;7,04;0.00;0;0;7;1.57;11;11;100%;0.43;33%;0.14;1;0.00;0.00;0;3;;;;;0,0;0;0,0;0;0,0;0;0,0;0,0;13,57;95;20,0;140;68%;0,0;0;0.00;0;0.00;0;;0;0;0,0;0;;0;0,0;;0;0,0;;;;;0;;;;;0;0.0km;0.0km;0.00;0;0.00;0;;33%;0,0;0;0;;;0;;
27119214;Jeppe Okkels;M/AM (L);26;183 cm;75 kg;Inj;Djurgårdens IF;Allsvenskan;DEN;;;;Scouting Required;€7,000 p/m;€600K - €6M;;Right;0;0,35;8;0;0;;0;;;;0;720;0.12;;1;9;13;0,04;0,65;0,04;0,29;;;6,61;0.00;1;0;8;0.50;4;5;80%;1.00;25%;0.25;2;0.00;0.00;0;8;;;;;0,0;0;0,0;0;0,0;0;0,0;0,0;13,25;106;20,0;160;66%;0,0;0;0.00;0;0.00;0;;0;0;0,0;0;;0;0,0;;0;0,0;;;;;0;;;;;0;0.0km;0.0km;0.00;0;0.00;0;;13%;0,0;0;0;;;0;0.12;
93024808;Jacob Rinne;GK;32;188 cm;83 kg;;Djurgårdens IF;Allsvenskan;SWE;;;;Scouting Required;€7,750 p/m;Not for Sale;;Left Only;0;0,0;9;0;0;;0;;0;0;0;810;;11;0;0;5;0,0;0,0;0,0;0,0;1.22;2;6,73;;0;;9;;;0;;;;;;;;;0;0;0;0;0%;0,0;0;0,0;0;0,0;0;0,0;0,0;12,67;114;20,0;180;63%;0,0;0;;;;;;0;0;0,0;0;;0;0,0;;0;0,0;;;;;;0%;0.00;0.00;;0;0.0km;0.0km;;;;;;;0,0;;0;;;;;
2000336646;Matias Siltanen;M (C);19;176 cm;67 kg;;Djurgårdens IF;Allsvenskan;FIN;;;;Scouting Required;€8,500 p/m;€500K - €5M;;Right;0;0,51;9;0;0;;0;;;;0;810;;;0;4;9;0,06;-0,51;0,1;0,87;;;6,97;;2;0;9;2.33;21;28;75%;0.44;0%;0.00;0;0.00;0.00;0;4;;;;;0,0;0;0,0;0;0,0;0;0,0;0,0;13,22;119;20,0;180;66%;0,0;0;0.00;0;0.00;0;;0;0;0,0;0;;0;0,0;;0;0,0;;;;;0;;;;;0;0.0km;0.0km;0.00;0;0.00;0;;;0,0;0;0;;;0;0.22;
29175186;Jon McCracken;GK;26;190 cm;77 kg;;Dundee;William Hill Premiership;SCO;;Trained in nation (15-21);Balanced;Media-friendly;€10,500 p/m;€65K;;Right Only;6;0,0;43;0;0;;0;33%;2;6;0;3835;;51;0;6;18;0,0;0,0;0,0;0,0;1.20;9;6,63;;0;;43;0.05;2;6;33%;;;;;;;;0;16;75;32;-1%;0,0;0;0,0;0;0,0;0;5,47;5,96;16,24;692;23,05;982;70%;0,02;1;;;;;;0;1;0,0;0;0.02;1;0,0;;0;0,0;;;;;;-946%;0.05;2.30;;0;0.0km;254.5km;;;;;;;7,46;;0;;;;;
61026156;Clark Robertson;D (LC);32;188 cm;77 kg;Ctr;Dundee;William Hill Premiership;SCO;;;;Scouting Required;€3,900 p/m;€0;;Left Only;0;0,0;4;0;0;;0;;;;0;600;;;0;10;7;0,0;0,0;0,18;1,18;;;6,63;;2;54;4 (10);1.80;12;16;75%;;;;;0.00;1.50;10;0;;;;;5,7;38;1,8;12;7,65;51;10,5;13,65;37,35;249;46,5;310;80%;0,45;3;0.45;3;1.80;12;35%;0;0;0,0;0;0.45;3;0,15;2.55;17;14,55;67%;5.40;36;2.70;0;;;;0.90;6;0.0km;86.6km;1.05;7;7.35;49;25%;;0,6;4;2;0.31;1.20;8;0.30;8.10
215481;Harry Paton;DM, M (RC), AM (C);28;176 cm;57 kg;;Dundee;William Hill Premiership;CAN;ENG;Trained in nation (15-21);;Scouting Required;€33,000 p/m;€250K - €750K;;Right;1;2,82;36;0;0;;0;;;;0;2944;0.12;;4;24;19;0,09;1,18;0,17;5,65;;;6,82;0.00;0;103;36 (5);2.20;72;108;67%;0.61;30%;0.18;6;0.18;0.00;0;20;;;;;3,61;118;3,42;112;11,13;364;11,25;13,85;37,27;1219;42,22;1381;88%;1,13;37;0.15;5;0.86;28;19%;3;0;0,12;4;1.13;37;0,03;1.83;60;10,67;21%;0.67;22;2.48;0;;;;1.01;33;0.0km;402.5km;0.15;5;0.86;28;17%;20%;0,7;23;8;0.73;0.34;11;;3.15
61042954;Simon Murray;ST (C);34;183 cm;73 kg;;Dundee;William Hill Premiership;SCO;;;;Scouting Required;€3,200 p/m;€0 - €75K;;Right;1;10,11;35;0;1;100%;3;;;;3;3114;0.40;;14;34;85;0,29;3,89;0,09;3,26;;;6,82;0.00;1;374;35 (6);1.13;39;62;63%;2.60;49%;1.27;44;0.61;0.00;0;90;;;;;0,9;31;1,68;58;7,75;268;1,76;17,63;19,68;681;22,83;790;86%;0,64;22;0.06;2;0.52;18;12%;17;0;0,06;2;0.64;22;0,12;0.66;23;7,2;32%;3.47;120;7.34;3;;;;0.58;20;0.0km;397.2km;0.06;2;0.52;18;11%;16%;0,38;13;5;0.64;0.12;4;0.03;10.81
